date,daily,cumulative
31/01/2020,1,0
01/02/2020,1,0
02/02/2020,1,0
03/02/2020,1,0
04/02/2020,1,0
05/02/2020,2,1
06/02/2020,2,0
07/02/2020,2,0
08/02/2020,6,4
09/02/2020,7,1
10/02/2020,7,0
11/02/2020,8,1
12/02/2020,8,0
13/02/2020,8,0
14/02/2020,8,0
15/02/2020,8,0
16/02/2020,8,0
17/02/2020,8,0
18/02/2020,8,0
19/02/2020,8,0
20/02/2020,8,0
21/02/2020,9,1
22/02/2020,9,0
23/02/2020,10,1
24/02/2020,12,2
25/02/2020,17,5
26/02/2020,21,4
27/02/2020,29,8
28/02/2020,41,12
29/02/2020,45,4
01/03/2020,67,22
02/03/2020,105,38
03/03/2020,160,55
04/03/2020,215,55
05/03/2020,264,49
06/03/2020,341,77
07/03/2020,406,65
08/03/2020,463,57
09/03/2020,607,144
10/03/2020,865,258
11/03/2020,1259,394
12/03/2020,1732,473
13/03/2020,2194,462
14/03/2020,2549,355
15/03/2020,2977,428
16/03/2020,3577,600
17/03/2020,4328,751
18/03/2020,5304,976
19/03/2020,6324,1020
20/03/2020,7531,1207
21/03/2020,8699,1168
22/03/2020,10049,1350
23/03/2020,12311,2262
24/03/2020,14631,2320
25/03/2020,17247,2616
26/03/2020,20232,2985
27/03/2020,23277,3045
28/03/2020,26038,2761
29/03/2020,28835,2797
30/03/2020,32971,4136
31/03/2020,37316,4345
01/04/2020,42111,4795
02/04/2020,46803,4692
03/04/2020,51483,4680
04/04/2020,55349,3866
05/04/2020,58841,3492
06/04/2020,63879,5038
07/04/2020,69070,5191
08/04/2020,73972,4902
09/04/2020,78646,4674
10/04/2020,82789,4143
11/04/2020,86183,3394
12/04/2020,89551,3368
13/04/2020,93550,3999
14/04/2020,97660,4110
15/04/2020,102402,4742
16/04/2020,107363,4961
17/04/2020,112037,4674
18/04/2020,116396,4359
19/04/2020,119993,3597
20/04/2020,124585,4592
21/04/2020,129146,4561
22/04/2020,134486,5340
23/04/2020,139480,4994
24/04/2020,144235,4755
25/04/2020,147844,3609
26/04/2020,151163,3319
27/04/2020,155783,4620
28/04/2020,160298,4515
29/04/2020,165603,5305
30/04/2020,170471,4868
01/05/2020,175117,4646
02/05/2020,178273,3156
03/05/2020,181145,2872
04/05/2020,184452,3307
05/05/2020,188040,3588
06/05/2020,191784,3744
07/05/2020,195459,3675
08/05/2020,198461,3002
09/05/2020,200586,2125
10/05/2020,202883,2297
11/05/2020,206416,3533
12/05/2020,209746,3330
13/05/2020,212973,3227
14/05/2020,215559,2586
15/05/2020,218044,2485
16/05/2020,220106,2062
17/05/2020,221918,1812
18/05/2020,224449,2531
19/05/2020,227450,3001
20/05/2020,230124,2674
21/05/2020,232662,2538
22/05/2020,234697,2035
23/05/2020,236212,1515
